Fields allocated and randomly filled
0,4.4.4.4,32,1,256,1827659,98283,63
1,4.4.4.4,32,1,256,27,19,19
2,4.4.4.4,32,1,256,19,15,20
3,4.4.4.4,32,1,256,19,15,19
4,4.4.4.4,32,1,256,18,15,19
5,4.4.4.4,32,1,256,18,14,18
6,4.4.4.4,32,1,256,18,15,19
7,4.4.4.4,32,1,256,18,15,21
8,4.4.4.4,32,1,256,20,16,21
9,4.4.4.4,32,1,256,20,16,20
10,4.4.4.4,32,1,256,20,15,19
11,4.4.4.4,32,1,256,19,15,19
12,4.4.4.4,32,1,256,19,15,18
13,4.4.4.4,32,1,256,19,15,19
14,4.4.4.4,32,1,256,18,16,18
15,4.4.4.4,32,1,256,19,14,18
16,4.4.4.4,32,1,256,18,17,19
17,4.4.4.4,32,1,256,18,15,18
18,4.4.4.4,32,1,256,19,14,19
19,4.4.4.4,32,1,256,18,14,18
20,4.4.4.4,32,1,256,19,15,18
21,4.4.4.4,32,1,256,19,14,18
22,4.4.4.4,32,1,256,18,15,19
23,4.4.4.4,32,1,256,18,15,18
24,4.4.4.4,32,1,256,18,15,18
25,4.4.4.4,32,1,256,18,14,20
26,4.4.4.4,32,1,256,18,14,19
27,4.4.4.4,32,1,256,19,15,18
28,4.4.4.4,32,1,256,18,15,18
29,4.4.4.4,32,1,256,20,15,19
30,4.4.4.4,32,1,256,18,15,18
31,4.4.4.4,32,1,256,18,15,18
32,4.4.4.4,32,1,256,18,15,18
33,4.4.4.4,32,1,256,18,15,18
34,4.4.4.4,32,1,256,23,15,19
35,4.4.4.4,32,1,256,19,14,18
36,4.4.4.4,32,1,256,18,15,19
37,4.4.4.4,32,1,256,18,14,18
38,4.4.4.4,32,1,256,18,14,19
39,4.4.4.4,32,1,256,19,14,18
40,4.4.4.4,32,1,256,19,15,18
41,4.4.4.4,32,1,256,18,14,19
42,4.4.4.4,32,1,256,18,15,20
43,4.4.4.4,32,1,256,19,14,20
44,4.4.4.4,32,1,256,18,15,19
45,4.4.4.4,32,1,256,19,14,18
46,4.4.4.4,32,1,256,19,14,18
47,4.4.4.4,32,1,256,18,15,18
48,4.4.4.4,32,1,256,18,15,18
49,4.4.4.4,32,1,256,19,14,19
50,4.4.4.4,32,1,256,18,14,19
51,4.4.4.4,32,1,256,18,16,19
52,4.4.4.4,32,1,256,19,15,18
53,4.4.4.4,32,1,256,18,14,18
