Fields allocated and randomly filled
0,4.4.4.4,32,1,9999,912757
1,4.4.4.4,32,1,9999,20
2,4.4.4.4,32,1,9999,19
3,4.4.4.4,32,1,9999,18
4,4.4.4.4,32,1,9999,18
5,4.4.4.4,32,1,9999,18
6,4.4.4.4,32,1,9999,18
7,4.4.4.4,32,1,9999,18
8,4.4.4.4,32,1,9999,18
9,4.4.4.4,32,1,9999,18
10,4.4.4.4,32,1,9999,18
11,4.4.4.4,32,1,9999,18
12,4.4.4.4,32,1,9999,18
13,4.4.4.4,32,1,9999,18
14,4.4.4.4,32,1,9999,18
15,4.4.4.4,32,1,9999,18
16,4.4.4.4,32,1,9999,18
17,4.4.4.4,32,1,9999,18
18,4.4.4.4,32,1,9999,18
19,4.4.4.4,32,1,9999,18
20,4.4.4.4,32,1,9999,18
21,4.4.4.4,32,1,9999,18
22,4.4.4.4,32,1,9999,18
23,4.4.4.4,32,1,9999,18
24,4.4.4.4,32,1,9999,18
25,4.4.4.4,32,1,9999,18
26,4.4.4.4,32,1,9999,18
27,4.4.4.4,32,1,9999,18
28,4.4.4.4,32,1,9999,25
29,4.4.4.4,32,1,9999,18
30,4.4.4.4,32,1,9999,18
31,4.4.4.4,32,1,9999,18
32,4.4.4.4,32,1,9999,18
33,4.4.4.4,32,1,9999,18
34,4.4.4.4,32,1,9999,18
35,4.4.4.4,32,1,9999,18
36,4.4.4.4,32,1,9999,18
37,4.4.4.4,32,1,9999,18
38,4.4.4.4,32,1,9999,18
39,4.4.4.4,32,1,9999,18
40,4.4.4.4,32,1,9999,18
41,4.4.4.4,32,1,9999,19
42,4.4.4.4,32,1,9999,18
43,4.4.4.4,32,1,9999,18
44,4.4.4.4,32,1,9999,18
45,4.4.4.4,32,1,9999,19
46,4.4.4.4,32,1,9999,18
47,4.4.4.4,32,1,9999,18
48,4.4.4.4,32,1,9999,18
49,4.4.4.4,32,1,9999,19
50,4.4.4.4,32,1,9999,19
51,4.4.4.4,32,1,9999,18
52,4.4.4.4,32,1,9999,18
53,4.4.4.4,32,1,9999,18
54,4.4.4.4,32,1,9999,18
55,4.4.4.4,32,1,9999,18
56,4.4.4.4,32,1,9999,18
57,4.4.4.4,32,1,9999,18
58,4.4.4.4,32,1,9999,18
59,4.4.4.4,32,1,9999,18
60,4.4.4.4,32,1,9999,18
61,4.4.4.4,32,1,9999,19
62,4.4.4.4,32,1,9999,19
63,4.4.4.4,32,1,9999,18
64,4.4.4.4,32,1,9999,18
65,4.4.4.4,32,1,9999,18
66,4.4.4.4,32,1,9999,18
67,4.4.4.4,32,1,9999,19
68,4.4.4.4,32,1,9999,18
69,4.4.4.4,32,1,9999,18
70,4.4.4.4,32,1,9999,18
71,4.4.4.4,32,1,9999,20
72,4.4.4.4,32,1,9999,18
73,4.4.4.4,32,1,9999,19
74,4.4.4.4,32,1,9999,18
75,4.4.4.4,32,1,9999,18
76,4.4.4.4,32,1,9999,18
77,4.4.4.4,32,1,9999,18
78,4.4.4.4,32,1,9999,18
79,4.4.4.4,32,1,9999,18
80,4.4.4.4,32,1,9999,18
81,4.4.4.4,32,1,9999,18
82,4.4.4.4,32,1,9999,18
83,4.4.4.4,32,1,9999,18
84,4.4.4.4,32,1,9999,19
85,4.4.4.4,32,1,9999,18
86,4.4.4.4,32,1,9999,19
87,4.4.4.4,32,1,9999,19
88,4.4.4.4,32,1,9999,18
89,4.4.4.4,32,1,9999,18
90,4.4.4.4,32,1,9999,18
91,4.4.4.4,32,1,9999,18
92,4.4.4.4,32,1,9999,23
93,4.4.4.4,32,1,9999,18
94,4.4.4.4,32,1,9999,18
95,4.4.4.4,32,1,9999,18
96,4.4.4.4,32,1,9999,18
97,4.4.4.4,32,1,9999,18
98,4.4.4.4,32,1,9999,18
99,4.4.4.4,32,1,9999,18
0,4.4.8.8,32,1,9999,30
